ID,Product Name,Slug,SKU,Product Type,Category,Published,Visible On Site,Currency,"Unit Price (1-100, GBP ex VAT)",Tier 2 Qty From,Tier 2 Price (GBP ex VAT),Tier 3 Qty From,Tier 3 Price (GBP ex VAT),Tier 4 Qty From,Tier 4 Price (GBP ex VAT),Tier 5 Qty From,Tier 5 Price (GBP ex VAT),Stock Quantity,Stock Status,Low Stock Threshold,Manage Stock,Colour Variants,Combination Options,MOQ (Minimum Order Qty),"Sale Price (optional, GBP ex VAT)","Sale Start Date (YYYY-MM-DD, optional)","Sale End Date (YYYY-MM-DD, optional)","Weight (kg, optional)","Length (mm, optional)","Width (mm, optional)","Height (mm, optional)",Bundle Components (SKU list),Bundle Component Qty (comma list),Bundle Discount % (optional),Notes (client use)
327272,AirOne,airone,airone,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Gray/Silver, Orange, Black, White, Purple, Blue",,1,,,,,,,,,,,
327273,Blade,blade,blade,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Dark purple/blue, Black, Orange, Teal, Light blue",,1,,,,,,,,,,,
258,Voca Pro Max,voca-pro-max,voca-pro-max,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,Olive,,1,,,,,,,,,,,
256,Eco Star,eco-star,eco-star,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,Cream,,1,,,,,,,,,,,
327271,Flo,flo,flo,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Pink/red, Purple, Green, White/silver",,1,,,,,,,,,,,
327270,GemBar,gembar,gembar,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Black, White",,1,,,,,,,,,,,
328866,Easy Bar Evo Max,easy-bar,easy-bar-jc-01,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,,,1,,,,,,,,,,,
328867,Flex,flex,flex-jc-01,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Graphite, Yale Blue",,1,,,,,,,,,,,
328868,Flex 2,flex-2,flex-2-jc-01,All-In-One,All-In-Ones,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Graphite, Yale Blue",,1,,,,,,,,,,,
327276,Eazie Pro,eazie-pro,eazie-pro-3-0,Pod System Battery,Pod Systems,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Black, rose gold, mint, lavender",Pod and battery; Pod only; Battery only,1,,,,,,,,,,,
327277,Eazie Pod,eazie-pod,eazie-pod-3-0,Pod,Pod Systems,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,"Red/coral, Light blue, Purple/magenta, Teal speckled, Green speckled",,1,,,,,,,,,,,
328869,Kera,kera,kera-jc-01,Cartridge,Cartridges,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,,,1,,,,,,,,,,,
327274,Vita,vita,vita,Cartridge,Cartridges,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,,,1,,,,,,,,,,,
261,TH2-EVO,th2-evo,th2-evomax,Cartridge,Cartridges,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,,,1,,,,,,,,,,,
262,M6T-EVO,m6t-evo,m6t-evomax,Cartridge,Cartridges,1,visible,GBP,3.6,101,,1001,,5001,,10001,,,instock,5,1,,,1,,,,,,,,,,,
328870,M4,m4,m4-jc-01,Battery,510 Batteries,1,visible,GBP,2.77,101,,1001,,5001,,10001,,,instock,5,1,"Black, White, Silver",,1,,,,,,,,,,,
328871,M4 Tiny,m4-tiny,m4-tiny-jc-01,Battery,510 Batteries,1,visible,GBP,2.77,101,,1001,,5001,,10001,,,instock,5,1,"Black, White, Silver",,1,,,,,,,,,,,
328872,Palm SE,palm-se,palm-se-jc-01,Battery,510 Batteries,1,visible,GBP,2.77,101,,1001,,5001,,10001,,,instock,5,1,"Silver, Gold",,1,,,,,,,,,,,
328873,AIO Voltage Tuner,aio-voltage-tuner,aio-voltage-tuner-jc-01,Equipment,Uncategorised,1,visible,GBP,,101,,1001,,5001,,10001,,,instock,5,1,,,1,,,,,,,,,,,
