product_name,product_slug,kind,role,filename,relative_path,title,alt,attach,source_url
M3 Plus,m3-plus,battery,featured,m3-plus-justccell-battery-featured.png,upload/m3-plus-justccell-battery-featured.png,M3 Plus - Justccell - Battery,M3 Plus - Justccell - Battery,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-featured-image.png
M3B Plus,m3b-plus,battery,featured,m3b-plus-justccell-battery-featured.png,upload/m3b-plus-justccell-battery-featured.png,M3B Plus - Justccell - Battery,M3B Plus - Justccell - Battery,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-m3b-plus-featured-image.png
M3B Plus,m3b-plus,battery,gallery-01,m3b-plus-justccell-battery-gallery-01.png,upload/m3b-plus-justccell-battery-gallery-01.png,M3B Plus - Justccell - Battery - Gallery 01,M3B Plus - Justccell - Battery - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-m3b-plus-product-gallery-01.png
Palm Pro,palm-pro,battery,featured,palm-pro-justccell-battery-featured.png,upload/palm-pro-justccell-battery-featured.png,Palm Pro - Justccell - Battery,Palm Pro - Justccell - Battery,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-palm-pro-featured-image.png
Palm Pro,palm-pro,battery,gallery-01,palm-pro-justccell-battery-gallery-01.png,upload/palm-pro-justccell-battery-gallery-01.png,Palm Pro - Justccell - Battery - Gallery 01,Palm Pro - Justccell - Battery - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-palm-pro-product-gallery-01.png
Go Stik,go-stik,battery,featured,go-stik-justccell-battery-featured.png,upload/go-stik-justccell-battery-featured.png,Go Stik - Justccell - Battery,Go Stik - Justccell - Battery,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-go-stik-featured-image.png
Go Stik,go-stik,battery,gallery-01,go-stik-justccell-battery-gallery-01.png,upload/go-stik-justccell-battery-gallery-01.png,Go Stik - Justccell - Battery - Gallery 01,Go Stik - Justccell - Battery - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-go-stik-product-gallery-01.png
Sandwave,sandwave,battery,featured,sandwave-justccell-battery-featured.png,upload/sandwave-justccell-battery-featured.png,Sandwave - Justccell - Battery,Sandwave - Justccell - Battery,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-sandwave-featured-image.png
Fino,fino,battery,featured,fino-justccell-battery-featured.png,upload/fino-justccell-battery-featured.png,Fino - Justccell - Battery,Fino - Justccell - Battery,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-fino-featured-image.png
Fino,fino,battery,gallery-01,fino-justccell-battery-gallery-01.png,upload/fino-justccell-battery-gallery-01.png,Fino - Justccell - Battery - Gallery 01,Fino - Justccell - Battery - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-fino-product-gallery-01.png
Stylo,stylo,battery,featured,stylo-justccell-battery-featured.png,upload/stylo-justccell-battery-featured.png,Stylo - Justccell - Battery,Stylo - Justccell - Battery,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-stylo-featured-image.png
